trial,depth,width,activation,batchnorm,dropout,optimizer,learning_rate,batch_size,val_mse,val_mae
37,1,128,relu,False,0.1,adam,0.009248357992775449,128,0.04671074077486992,0.18041624128818512
36,3,32,gelu,True,0.1,rmsprop,0.007025191608143858,64,0.056884534657001495,0.1937219202518463
9,6,128,elu,True,0.0,adam,0.0017329234819236073,256,0.0673454999923706,0.20530326664447784
13,4,128,gelu,True,0.4,adam,0.002769144926910496,256,0.07261752337217331,0.21300698816776276
22,3,32,tanh,True,0.0,rmsprop,0.00376251926150146,64,0.07662355154752731,0.2180279940366745
15,5,512,gelu,True,0.4,adam,0.0012489372410308885,256,0.07778586447238922,0.21854805946350098
7,2,256,relu,True,0.3,sgd,0.01988465950481001,256,0.08189807832241058,0.23077023029327393
29,4,512,tanh,False,0.3,adam,0.0003147363139341062,64,0.08742520958185196,0.224039688706398
27,2,512,gelu,True,0.3,rmsprop,0.016457003451876142,64,0.08832518011331558,0.2399904429912567
24,5,128,tanh,False,0.1,adam,0.019146423139374598,64,0.08870290964841843,0.23198959231376648
33,4,256,gelu,True,0.0,rmsprop,0.05776457884902587,64,0.0907101109623909,0.21258847415447235
8,5,256,elu,True,0.0,adam,0.0005246059121290639,64,0.09119518846273422,0.2405269742012024
31,4,128,gelu,True,0.0,rmsprop,0.00029299403041503104,256,0.09250820428133011,0.23314319550991058
28,5,512,tanh,False,0.4,adam,0.0014943674695708912,256,0.09439224004745483,0.23189233243465424
11,3,256,relu,True,0.3,rmsprop,0.015135490097391808,64,0.09734520316123962,0.24881696701049805
16,2,128,tanh,True,0.0,sgd,0.017316849068970724,64,0.10022985935211182,0.24664197862148285
18,5,512,gelu,False,0.3,rmsprop,0.0001562280618972688,256,0.10402821004390717,0.23645497858524323
38,4,32,relu,False,0.0,rmsprop,0.012626420586839148,256,0.10404233634471893,0.24535958468914032
21,1,256,elu,True,0.1,sgd,0.012604143578552402,128,0.10460316389799118,0.25116366147994995
32,1,128,gelu,True,0.1,rmsprop,0.02537232047946702,64,0.10521391779184341,0.25707823038101196
1,2,32,elu,False,0.4,rmsprop,0.015118782763459562,64,0.10641652345657349,0.256589412689209
3,3,256,relu,True,0.2,sgd,0.00018719517101921604,128,0.11692041158676147,0.26123887300491333
20,3,256,tanh,True,0.1,rmsprop,0.003943278444810034,128,0.11834567785263062,0.26881417632102966
34,1,64,relu,True,0.2,sgd,0.010279759728239489,256,0.12988294661045074,0.2736798822879791
40,2,32,relu,False,0.0,adam,0.0003001011187909476,128,0.13364626467227936,0.27910298109054565
23,4,512,tanh,False,0.5,rmsprop,0.0007250489433021553,128,0.1364138126373291,0.2744765281677246
5,6,256,tanh,False,0.5,adam,0.010028820208697593,256,0.13856248557567596,0.28402644395828247
10,1,512,elu,False,0.4,sgd,0.0367777354104586,256,0.14311076700687408,0.2840575575828552
6,6,256,elu,True,0.0,adam,0.03522437027512884,256,0.14685401320457458,0.3112035393714905
26,6,256,gelu,False,0.2,rmsprop,0.0065549629531966675,64,0.15484647452831268,0.3042369484901428
39,4,64,gelu,False,0.3,rmsprop,0.0001881851602592445,256,0.18228653073310852,0.32056283950805664
30,1,32,elu,True,0.4,adam,0.0014524479141435217,64,0.19177201390266418,0.3280782103538513
35,3,128,tanh,False,0.3,adam,0.0003518182222111109,64,0.2102767527103424,0.3307943046092987
19,4,64,gelu,False,0.4,sgd,0.0011343193001420713,128,0.24090181291103363,0.3646767735481262
12,6,64,tanh,False,0.5,adam,0.018916922891321433,256,0.25867700576782227,0.3795076906681061
2,1,32,gelu,False,0.0,rmsprop,0.00013823872102978758,128,0.34859782457351685,0.4338649809360504
25,3,128,gelu,False,0.3,sgd,0.0006767516396275879,256,0.42548784613609314,0.4828633964061737
17,1,64,tanh,False,0.0,sgd,0.0001064501027865259,128,0.6271270513534546,0.5805209279060364
14,6,32,tanh,True,0.5,sgd,0.0012760755616076863,256,0.6929813027381897,0.6215577125549316
4,3,32,elu,True,0.5,sgd,0.0003464943675993339,256,0.7197064161300659,0.6344884037971497
